series_id,analysis_scope,protocol,display,region,region_display,variable_set,variable_set_label,variable,var_short,n_full723,mean_effect_pct_full723,median_effect_pct_full723,fraction_timesteps_improved_full723,lag1_autocorrelation_full723,lag1_exact_12h_pair_count_full723,ar1_n_eff_raw_full723,ar1_n_eff_capped_full723,block_days,block_cases,calendar_slots,calendar_candidate_start_slots,calendar_edge_handling,baseline_unavailable_calendar_slots,calibration_excluded_calendar_slots,bootstrap_replicates,random_seed,bootstrap_mean_effect_pct,bootstrap_mean_bias_pct,bootstrap_se_pct,ci95_percentile_low_pct,ci95_percentile_high_pct,ci95_percentile_width_pct,ci95_primary_low_pct,ci95_primary_high_pct,ci95_primary_method,probability_effect_lt_zero,block_bootstrap_interpretation
per_variable__strict_conus__t2m,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,t2m,2m_temperature,t2m,723,-19.686217505840347,-19.2294979095459,0.9972337482710927,-0.2555968837189129,715,1219.4958982224214,723.0,14,28,732,732,circular_wrap,9,0,10000,20260726,-19.691589911116782,-0.005372405276435899,0.3983571327887519,-20.452143499256213,-18.901033919766792,1.5511095794894203,-20.452143499256213,-18.901033919766792,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__u10,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,u10,10m_u_component_of_wind,u10,723,-11.760274617338906,-11.637588500976562,0.9944674965421854,0.13505519909729105,715,550.9468539944165,550.9468539944165,14,28,732,732,circular_wrap,9,0,10000,20260726,-11.756677053818818,0.0035975635200884426,0.42669491552475713,-12.606238102657336,-10.929459325820826,1.6767787768365103,-12.606238102657336,-10.929459325820826,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__v10,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,v10,10m_v_component_of_wind,v10,723,-11.072319570933965,-10.940896034240724,0.9903181189488244,0.012353080837116429,715,705.3554101542322,705.3554101542322,14,28,732,732,circular_wrap,9,0,10000,20260726,-11.066638225785384,0.005681345148580874,0.4371256493224729,-11.913406707434547,-10.210720975994342,1.702685731440205,-11.913406707434547,-10.210720975994342,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__z500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,z500,geopotential_500,z500,723,-9.01695402428884,-9.28492546081543,0.8727524204702628,0.30413086335266293,715,385.7844330917984,385.7844330917984,14,28,732,732,circular_wrap,9,0,10000,20260726,-9.009288225293854,0.007665798994985096,0.5792490166196145,-10.112066746137218,-7.868916079052274,2.2431506670849446,-10.112066746137218,-7.868916079052274,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__z850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,z850,geopotential_850,z850,723,-9.601856828431494,-9.685113906860352,0.9073305670816044,-0.012001879416636399,715,740.5655370945535,723.0,14,28,732,732,circular_wrap,9,0,10000,20260726,-9.601926352320087,-6.952388859282621e-05,0.3648333376690191,-10.291488784575579,-8.875583459371327,1.4159053252042515,-10.291488784575579,-8.875583459371327,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__u500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,u500,u_component_of_wind_500,u500,723,-9.940473375365364,-9.55195140838623,0.9806362378976486,0.16162348845903296,715,521.8095397229016,521.8095397229016,14,28,732,732,circular_wrap,9,0,10000,20260726,-9.938524770349748,0.0019486050156167778,0.39259242227698105,-10.734119281976035,-9.199024475958163,1.535094806017872,-10.734119281976035,-9.199024475958163,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__u850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,u850,u_component_of_wind_850,u850,723,-10.124289069350494,-9.894901275634766,0.983402489626556,0.11780241462603941,715,570.6096586298383,570.6096586298383,14,28,732,732,circular_wrap,9,0,10000,20260726,-10.123715860613101,0.0005732087373928607,0.23866965840294377,-10.595390725492358,-9.666620258240862,0.9287704672514963,-10.595390725492358,-9.666620258240862,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__v500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,v500,v_component_of_wind_500,v500,723,-11.098806708834726,-10.813043594360352,0.9972337482710927,0.16387077790490864,715,519.4059676134784,519.4059676134784,14,28,732,732,circular_wrap,9,0,10000,20260726,-11.095047855580123,0.0037588532546024567,0.43307961383355953,-11.949811076825513,-10.25610458551369,1.6937064913118238,-11.949811076825513,-10.25610458551369,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__v850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,v850,v_component_of_wind_850,v850,723,-9.804865313392456,-9.668682098388672,0.9875518672199171,0.02294693569685232,715,690.5630593731191,690.5630593731191,14,28,732,732,circular_wrap,9,0,10000,20260726,-9.802576737773624,0.0022885756188326667,0.2668543356610168,-10.319481016537832,-9.26932144857232,1.0501595679655118,-10.319481016537832,-9.26932144857232,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__t500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,t500,temperature_500,t500,723,-3.930090825194506,-3.6575145721435542,0.719225449515906,0.1796419273506667,715,502.79569823153156,502.79569823153156,14,28,732,732,circular_wrap,9,0,10000,20260726,-3.926538657318645,0.0035521678758607678,0.6031878234587951,-5.1150465701900245,-2.744986170516665,2.3700603996733594,-5.1150465701900245,-2.744986170516665,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__t850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,t850,temperature_850,t850,723,-10.905269954206723,-11.31961727142334,0.9612724757952974,0.023047177876723633,715,690.4245529136701,690.4245529136701,14,28,732,732,circular_wrap,9,0,10000,20260726,-10.903539731701162,0.0017302225055608744,0.30231930091212406,-11.487899374976346,-10.310542658707616,1.1773567162687293,-11.487899374976346,-10.310542658707616,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__q500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,q500,specific_humidity_500,q500,723,-1.3922727631957605,-1.4117730855941772,0.8215767634854771,0.23143891387901963,715,451.2360775697068,451.2360775697068,14,28,732,732,circular_wrap,9,0,10000,20260726,-1.3914633379368369,0.0008094252589236905,0.10445807776985151,-1.602318242638028,-1.191073609974086,0.41124463266394207,-1.602318242638028,-1.191073609974086,raw_percentile,1.0,improvement_supported
per_variable__strict_conus__q850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),strict_conus,Within CONUS,per_variable,q850,specific_humidity_850,q850,723,-1.7386980864243842,-1.7065696716308594,0.8105117565698479,0.0411607875186938,715,665.8344791068472,665.8344791068472,14,28,732,732,circular_wrap,9,0,10000,20260726,-1.7397875071711857,-0.0010894207468015171,0.10069023652060381,-1.9373680422960409,-1.5405344386420818,0.39683360365395903,-1.9373680422960409,-1.5405344386420818,raw_percentile,1.0,improvement_supported
per_variable__global__t2m,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,t2m,2m_temperature,t2m,723,-0.33562281436044805,-0.2952716052532196,0.7164591977869986,0.24408397045130864,715,439.30096548502553,439.30096548502553,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.3354756846542279,0.00014712970622016153,0.04952275870533421,-0.4343441547960585,-0.24285282066004327,0.1914913341360152,-0.4343441547960585,-0.24285282066004327,raw_percentile,1.0,improvement_supported
per_variable__global__u10,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,u10,10m_u_component_of_wind,u10,723,-0.039557703566769034,-0.0481811091303825,0.5975103734439834,0.3242468664215242,715,368.9414171675451,368.9414171675451,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.03929272115996545,0.0002649824068035808,0.012766412398212816,-0.06453309681243481,-0.014082790622693383,0.05045030618974143,-0.06453309681243481,-0.014082790622693383,raw_percentile,0.9996,improvement_supported
per_variable__global__v10,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,v10,10m_v_component_of_wind,v10,723,-0.06203219876243235,-0.0601172298192977,0.6500691562932227,0.3471209041406684,715,350.40031288610044,350.40031288610044,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.062021960929385014,1.023783304733572e-05,0.010119301683035877,-0.08260988150743859,-0.04209674557709349,0.0405131359303451,-0.08260988150743859,-0.04209674557709349,raw_percentile,1.0,improvement_supported
per_variable__global__z500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,z500,geopotential_500,z500,723,0.045283045795959334,-0.0004902750370092,0.5020746887966805,0.3463112771502015,715,351.0458202658855,351.0458202658855,14,28,732,732,circular_wrap,9,0,10000,20260726,0.0452090181598095,-7.402763614983154e-05,0.03187175237240922,-0.017953686363820612,0.10672381732762874,0.12467750369144935,-0.017953686363820612,0.10672381732762874,raw_percentile,0.0788,interval_includes_zero
per_variable__global__z850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,z850,geopotential_850,z850,723,0.07400234695990927,0.0202917996793985,0.48824343015214383,0.36375311591309056,715,337.30921808881925,337.30921808881925,14,28,732,732,circular_wrap,9,0,10000,20260726,0.0739836769562266,-1.8670003682677572e-05,0.0379265554263567,-0.0023644514712493764,0.14544619211076804,0.1478106435820174,-0.0023644514712493764,0.14544619211076804,raw_percentile,0.0288,interval_includes_zero
per_variable__global__u500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,u500,u_component_of_wind_500,u500,723,0.004203446134547706,0.003243806771934,0.49239280774550487,0.37060383093599225,715,332.00945449168876,332.00945449168876,14,28,732,732,circular_wrap,9,0,10000,20260726,0.004648963349587966,0.0004455172150402602,0.016274305788196886,-0.02765860241442236,0.035775843984815724,0.06343444639923808,-0.02765860241442236,0.035775843984815724,raw_percentile,0.3783,interval_includes_zero
per_variable__global__u850,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,u850,u_component_of_wind_850,u850,723,-0.022522548263033345,-0.0399278439581394,0.5712309820193637,0.37212504244185785,715,330.8398143558935,330.8398143558935,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.022193268345795856,0.0003292799172374891,0.015386746079867189,-0.052079573197046834,0.008339837549791602,0.06041941074683844,-0.052079573197046834,0.008339837549791602,raw_percentile,0.9267,interval_includes_zero
per_variable__global__v500,per_variable,RplusAplusS_2019_frozen,R+A+S (2019-frozen),global,Global,per_variable,v500,v_component_of_wind_500,v500,723,-0.036739144270289556,-0.0320168100297451,0.5656984785615491,0.35284328387951885,715,345.85994647756814,345.85994647756814,14,28,732,732,circular_wrap,9,0,10000,20260726,-0.036622846689685414,0.00011629758060414247,0.014843373857043153,-0.06650034335699836,-0.00751894516551893,0.058981398191479434,-0.06650034335699836,-0.00751894516551893,raw_percentile,0.9949,improvement_supported
