family,variable,var_short,method,method_display,n_timesteps,mean_effect_pct,ci95_low_pct,ci95_high_pct,improved_timestep_fraction
surface,2m_temperature,t2m,heldout80,R+A+0.8S,24,-19.21537204017538,-21.71741093853716,-16.70682869582009,1.0
surface,2m_temperature,t2m,full_RAS,R+A+S,24,-25.779420917281914,-28.186917623888284,-23.441953762663168,1.0
surface,10m_u_component_of_wind,u10,heldout80,R+A+0.8S,24,-10.18447463058694,-11.481932006841847,-8.929296496056645,1.0
surface,10m_u_component_of_wind,u10,full_RAS,R+A+S,24,-25.923579975308826,-27.185836790573994,-24.689673234416503,1.0
surface,10m_v_component_of_wind,v10,heldout80,R+A+0.8S,24,-11.097763925279901,-12.68042835245877,-9.538809848477115,1.0
surface,10m_v_component_of_wind,v10,full_RAS,R+A+S,24,-27.018905951643546,-28.747316046174724,-25.423418379903246,1.0
aircraft,temperature_500,t500,heldout80,R+0.8A+S,24,-5.34778493894548,-9.878894056757797,-1.2691126759805365,0.8333333333333334
aircraft,temperature_500,t500,full_RAS,R+A+S,24,-22.257460529188872,-27.827647809821144,-17.805801397239577,1.0
aircraft,temperature_850,t850,heldout80,R+0.8A+S,24,-1.7747329097492879,-7.379812231455822,5.84774866913148,0.7083333333333334
aircraft,temperature_850,t850,full_RAS,R+A+S,24,-23.667376606715262,-27.09222071568797,-20.22158495975719,1.0
aircraft,u_component_of_wind_500,u500,heldout80,R+0.8A+S,24,-12.812871882016049,-20.33582149612838,-4.054682402961589,0.7916666666666666
aircraft,u_component_of_wind_500,u500,full_RAS,R+A+S,24,-40.79157748258614,-46.20552447568351,-35.68300496974782,1.0
aircraft,u_component_of_wind_850,u850,heldout80,R+0.8A+S,24,-7.518601612455832,-11.865681021872055,-3.334715313056561,0.75
aircraft,u_component_of_wind_850,u850,full_RAS,R+A+S,24,-37.587945587937185,-44.326431760503596,-30.577115364590394,1.0
aircraft,v_component_of_wind_500,v500,heldout80,R+0.8A+S,24,-14.49945836790466,-19.575586139162944,-9.57532963674089,0.9166666666666666
aircraft,v_component_of_wind_500,v500,full_RAS,R+A+S,24,-46.800821945878994,-51.92667000070803,-41.8992002083907,1.0
aircraft,v_component_of_wind_850,v850,heldout80,R+0.8A+S,24,-6.390855156058514,-9.687660650067375,-3.1469127876788776,0.7916666666666666
aircraft,v_component_of_wind_850,v850,full_RAS,R+A+S,24,-47.32443457951211,-54.608259535283594,-40.21072584458369,1.0
