protocol,region,evaluation_group,rank,count,frequency,frequency_relative_to_uniform
R,strict_conus,all_13_variables,0,816937,0.10891909526982688,1.851624619587057
R,strict_conus,all_13_variables,1,475705,0.06342393381048109,1.0782068747781786
R,strict_conus,all_13_variables,2,398657,0.05315141775067523,0.9035741017614789
R,strict_conus,all_13_variables,3,361323,0.048173817883361454,0.8189549040171448
R,strict_conus,all_13_variables,4,339997,0.04533050361833939,0.7706185615117696
R,strict_conus,all_13_variables,5,327353,0.04364472730928289,0.7419603642578092
R,strict_conus,all_13_variables,6,320319,0.04270691090957525,0.7260174854627792
R,strict_conus,all_13_variables,7,317081,0.0422752007159083,0.718678412170441
R,strict_conus,all_13_variables,8,317309,0.04230559908655563,0.7191951844714457
R,strict_conus,all_13_variables,9,320087,0.04267597923417971,0.7254916469810552
R,strict_conus,all_13_variables,10,328871,0.04384711646122434,0.7454009798408138
R,strict_conus,all_13_variables,11,340070,0.04534023642999402,0.7707840193098983
R,strict_conus,all_13_variables,12,358782,0.047835036042068145,0.8131956127151585
R,strict_conus,all_13_variables,13,390474,0.05206040956204747,0.8850269625548071
R,strict_conus,all_13_variables,14,442756,0.05903096927338028,1.0035264776474648
R,strict_conus,all_13_variables,15,548966,0.07319154359992971,1.2442562411988052
R,strict_conus,all_13_variables,16,1095715,0.14608750304317022,2.483487551733894
R,strict_conus,surface_targeted_variables,0,237574,0.13725762076930453,2.333379553078177
R,strict_conus,surface_targeted_variables,1,126014,0.07280418658448796,1.2376711719362954
R,strict_conus,surface_targeted_variables,2,98200,0.05673473679588552,0.9644905255300538
R,strict_conus,surface_targeted_variables,3,86506,0.04997856559332864,0.8496356150865869
R,strict_conus,surface_targeted_variables,4,79096,0.04569746172716253,0.776856849361763
R,strict_conus,surface_targeted_variables,5,75100,0.0433887854722098,0.7376093530275666
R,strict_conus,surface_targeted_variables,6,72021,0.041609903042530254,0.7073683517230143
R,strict_conus,surface_targeted_variables,7,70246,0.040584402453806255,0.6899348417147063
R,strict_conus,surface_targeted_variables,8,69657,0.04024410958239305,0.6841498629006819
R,strict_conus,surface_targeted_variables,9,70271,0.04059884612406997,0.6901803841091895
R,strict_conus,surface_targeted_variables,10,71147,0.04110495233011066,0.6987841896118813
R,strict_conus,surface_targeted_variables,11,72569,0.04192650829471096,0.7127506410100863
R,strict_conus,surface_targeted_variables,12,77164,0.04458125488918238,0.7578813331161005
R,strict_conus,surface_targeted_variables,13,84891,0.04904550449429244,0.8337735764029715
R,strict_conus,surface_targeted_variables,14,97455,0.05630431542202671,0.9571733621744541
R,strict_conus,surface_targeted_variables,15,119862,0.06924988820599216,1.1772480995018668
R,strict_conus,surface_targeted_variables,16,223089,0.12888895821850616,2.1911122897146047
R,strict_conus,aircraft_targeted_variables,0,407919,0.11783695060611418,2.0032281603039412
R,strict_conus,aircraft_targeted_variables,1,240149,0.06937265940323377,1.179335209854974
R,strict_conus,aircraft_targeted_variables,2,202758,0.05857139390661994,0.9957136964125389
R,strict_conus,aircraft_targeted_variables,3,182277,0.052654977693195645,0.8951346207843259
R,strict_conus,aircraft_targeted_variables,4,170691,0.04930809041968684,0.8382375371346763
R,strict_conus,aircraft_targeted_variables,5,163342,0.047185159764325524,0.802147715993534
R,strict_conus,aircraft_targeted_variables,6,158608,0.04581763306375667,0.7788997620838634
R,strict_conus,aircraft_targeted_variables,7,156142,0.04510527124635008,0.7667896111879514
R,strict_conus,aircraft_targeted_variables,8,154372,0.04459396531901445,0.7580974104232457
R,strict_conus,aircraft_targeted_variables,9,153740,0.044411397326881055,0.7549937545569779
R,strict_conus,aircraft_targeted_variables,10,156572,0.045229486810618065,0.7689012757805072
R,strict_conus,aircraft_targeted_variables,11,160339,0.0463176729282866,0.7874004397808722
R,strict_conus,aircraft_targeted_variables,12,165891,0.04792149807436988,0.8146654672642879
R,strict_conus,aircraft_targeted_variables,13,176086,0.050866562441142044,0.8647315614994148
R,strict_conus,aircraft_targeted_variables,14,193047,0.05576614426800057,0.9480244525560096
R,strict_conus,aircraft_targeted_variables,15,229570,0.06631666764883624,1.1273833500302162
R,strict_conus,aircraft_targeted_variables,16,390221,0.11272446907956844,1.9163159743526634
R+A+S,strict_conus,all_13_variables,0,749245,0.09989397901605808,1.6981976432729873
R+A+S,strict_conus,all_13_variables,1,454420,0.06058608591912807,1.0299634606251773
R+A+S,strict_conus,all_13_variables,2,387753,0.05169762900708522,0.8788596931204488
R+A+S,strict_conus,all_13_variables,3,355938,0.047455856366098774,0.8067495582236791
R+A+S,strict_conus,all_13_variables,4,341022,0.04546716296006534,0.7729417703211108
R+A+S,strict_conus,all_13_variables,5,330182,0.044021907092446515,0.7483724205715907
R+A+S,strict_conus,all_13_variables,6,325528,0.04340140701791717,0.7378239193045919
R+A+S,strict_conus,all_13_variables,7,323220,0.04309369017820645,0.7325927330295096
R+A+S,strict_conus,all_13_variables,8,325976,0.043461137149715445,0.7388393315451626
R+A+S,strict_conus,all_13_variables,9,331588,0.0442093637114384,0.7515591830944528
R+A+S,strict_conus,all_13_variables,10,339075,0.04520757687387956,0.7685288068559525
R+A+S,strict_conus,all_13_variables,11,353859,0.04717867122322243,0.8020374107947813
R+A+S,strict_conus,all_13_variables,12,373843,0.049843061745223786,0.8473320496688044
R+A+S,strict_conus,all_13_variables,13,405733,0.05409483385023896,0.9196121754540623
R+A+S,strict_conus,all_13_variables,14,460688,0.061421774459555635,1.0441701658124458
R+A+S,strict_conus,all_13_variables,15,567210,0.07562394655646458,1.2856070914598978
R+A+S,strict_conus,all_13_variables,16,1075122,0.1433419168732556,2.436812586845345
R+A+S,strict_conus,surface_targeted_variables,0,212923,0.12301558414246774,2.0912649304219517
R+A+S,strict_conus,surface_targeted_variables,1,114167,0.06595962011991713,1.1213135420385911
R+A+S,strict_conus,surface_targeted_variables,2,91860,0.053071822017006554,0.9022209742891114
R+A+S,strict_conus,surface_targeted_variables,3,82062,0.047411058767250075,0.8059879990432512
R+A+S,strict_conus,surface_targeted_variables,4,77214,0.04461014222970982,0.7583724179050669
R+A+S,strict_conus,surface_targeted_variables,5,73379,0.04239448321125543,0.7207062145913423
R+A+S,strict_conus,surface_targeted_variables,6,72449,0.04185717867744511,0.7115720375165668
R+A+S,strict_conus,surface_targeted_variables,7,71528,0.04132507386492973,0.7025262557038054
R+A+S,strict_conus,surface_targeted_variables,8,71168,0.04111708501313219,0.6989904452232472
R+A+S,strict_conus,surface_targeted_variables,9,72724,0.042016059050346014,0.7142730038558822
R+A+S,strict_conus,surface_targeted_variables,10,73715,0.042588606139599805,0.7240063043731967
R+A+S,strict_conus,surface_targeted_variables,11,76346,0.04410865799815352,0.7498471859686099
