protocol,region,variable,variable_short,n_timesteps,n_members,ensemble_mean_rmse,rms_ensemble_spread,raw_spread_skill_ratio,finite_ensemble_corrected_spread_skill_ratio
R,strict_conus,2m_temperature,t2m,723,16,1.7413242360241288,1.2183507051527214,0.6996690679126568,0.7212023674953351
R,strict_conus,10m_u_component_of_wind,u10,723,16,1.6178333494295547,1.047598412559427,0.647531720698432,0.6674604200943972
R,strict_conus,10m_v_component_of_wind,v10,723,16,1.713549439335073,1.0669416538757703,0.6226500557169726,0.6418129868794499
R,strict_conus,geopotential_500,z500,723,16,115.21090574501095,64.51270808336393,0.5599531369551581,0.5771864822655172
R,strict_conus,geopotential_850,z850,723,16,85.854158426064,51.04181293885348,0.5945176549929114,0.6128147719575732
R,strict_conus,u_component_of_wind_500,u500,723,16,2.9432664899495857,2.1470392512766336,0.7294749757142819,0.7519255940287155
R,strict_conus,u_component_of_wind_850,u850,723,16,2.4186824526337087,1.6458209377412232,0.6804617679138016,0.7014039358257836
R,strict_conus,v_component_of_wind_500,v500,723,16,3.0933118033643465,2.111970439295708,0.6827538164754965,0.7037665254055119
R,strict_conus,v_component_of_wind_850,v850,723,16,2.5611291787965302,1.6829364850026374,0.6571072240071256,0.677330622984446
R,strict_conus,temperature_500,t500,723,16,0.9144784114150178,0.75963464768659,0.8306753207122403,0.856240521972598
R,strict_conus,temperature_850,t850,723,16,1.4114960841635418,1.0048709276439312,0.7119190332287898,0.7338293427224774
R,strict_conus,specific_humidity_500,q500,723,16,0.000547980593435737,0.000361109038923201,0.65898143702337,0.6792625175421667
R,strict_conus,specific_humidity_850,q850,723,16,0.001315241949241077,0.001011934005285868,0.7693900014896695,0.7930690608590092
R+A+S,strict_conus,2m_temperature,t2m,723,16,1.3932782656067693,1.072305578650965,0.7696277227033169,0.7933140982773387
R+A+S,strict_conus,10m_u_component_of_wind,u10,723,16,1.4252985983119872,0.9186838692770419,0.6445553727233435,0.6643924708244264
R+A+S,strict_conus,10m_v_component_of_wind,v10,723,16,1.5231399768085196,0.9323488528597251,0.6121228955025547,0.6309618385039887
R+A+S,strict_conus,geopotential_500,z500,723,16,104.2321192614377,64.58817348684751,0.6196571070846768,0.638727926043699
R+A+S,strict_conus,geopotential_850,z850,723,16,77.29430011669206,51.013301183427906,0.6599878788786827,0.680299934061041
R+A+S,strict_conus,u_component_of_wind_500,u500,723,16,2.645886369810664,1.9722993385345469,0.7454210282944547,0.7683624088036418
R+A+S,strict_conus,u_component_of_wind_850,u850,723,16,2.1692512616734247,1.4929222845920305,0.6882200835694552,0.7094010245570693
R+A+S,strict_conus,v_component_of_wind_500,v500,723,16,2.735927118025927,1.9205516357301675,0.7019747065177367,0.7235789653711466
R+A+S,strict_conus,v_component_of_wind_850,v850,723,16,2.3066471604458445,1.518057720024624,0.6581230740687724,0.6783777372604359
R+A+S,strict_conus,temperature_500,t500,723,16,0.871539199744845,0.7257676784750751,0.8327424385358151,0.8583712582543971
R+A+S,strict_conus,temperature_850,t850,723,16,1.2565178900710297,0.9467851638447858,0.7534991513660542,0.7766891474738777
R+A+S,strict_conus,specific_humidity_500,q500,723,16,0.0005403116319380974,0.0003573293331370288,0.6613393308881558,0.6816929789067936
R+A+S,strict_conus,specific_humidity_850,q850,723,16,0.0012915174683984514,0.000996551744683991,0.7716130591092715,0.7953605362033724
